Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
75040-1,Star Wars,Episode III,2014,General Grievous' Wheel Bike,2,261,19.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,50.66,26.32
75041-1,Star Wars,Episode III,2014,Vulture Droid,3,205,19.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,46.37,23.69
75042-1,Star Wars,Episode III,2014,Droid Gunship,4,439,44.99,49.99,59.99,5.70202E+12,6.73419E+11,,1,65.37,38.15
75043-1,Star Wars,Episode III,2014,AT-AP,5,717,59.99,59.99,74.99,5.70202E+12,6.73419E+11,,1,71.33,55.31
75044-1,Star Wars,Episode III,2014,Droid Tri-Fighter,4,262,34.99,29.99,39.99,5.70202E+12,,,1,42.42,20.49
75045-1,Star Wars,The Clone Wars,2014,Republic AV-7 Anti-Vehicle Cannon,4,434,44.99,39.99,49.99,5.70202E+12,,,1,59.33,56.9
75046-1,Star Wars,The Clone Wars,2014,Coruscant Police Gunship,4,481,49.99,49.99,59.99,5.70202E+12,,,1,83.29,56.45
75048-1,Star Wars,Rebels,2014,The Phantom,2,234,19.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,49.89,35.59
75049-1,Star Wars,Episode V,2014,Snowspeeder,3,278,34.99,29.99,39.99,5.70202E+12,6.73419E+11,,1,67.35,40.89
75050-1,Star Wars,Episode VI,2014,B-Wing,3,448,49.99,49.99,59.99,5.70202E+12,6.73419E+11,,1,63.59,42.01
75051-1,Star Wars,Original Content,2014,Jedi Scout Fighter,4,490,59.99,59.99,74.99,5.70202E+12,6.73419E+11,,1,80.63,44.58
75052-1,Star Wars,Episode IV,2014,Mos Eisley Cantina,8,615,64.99,69.99,89.99,5.70202E+12,6.73419E+11,,1,108.68,86.87
75053-1,Star Wars,Rebels,2014,The Ghost,4,929,69.99,89.99,109.99,5.70202E+12,6.73419E+11,,1,198.94,158.48
75054-1,Star Wars,Episode V,2014,AT-AT,5,1138,109.99,109.99,129.99,5.70202E+12,6.73419E+11,,1,222.44,139.38
75055-1,Star Wars,Episode IV,2014,Imperial Star Destroyer,7,1359,119.99,129.99,149.99,5.70202E+12,6.73419E+11,,1,237.23,171.07
75056-1,Star Wars,Seasonal,2014,Star Wars Advent Calendar,9,274,24.99,39.99,49.99,,6.73419E+11,,1,70.25,36.95
75058-1,Star Wars,Episode I,2014,MTT,12,954,89.99,89.99,109.99,5.70202E+12,,,1,137.86,105
75059-1,Star Wars,Ultimate Collector Series,2014,Sandcrawler,14,3296,249.99,299.99,349.99,5.70202E+12,,,1,341.17,281.47
75060-1,Star Wars,Ultimate Collector Series,2015,Slave I,4,1996,179.99,199.99,229.99,,,,1,201.53,161.64
75072-1,Star Wars,MicroFighters,2015,ARC-170 Starfighter,1,95,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,12.61,10
75073-1,Star Wars,MicroFighters,2015,Vulture Droid,1,77,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,13.71,7.5
75074-1,Star Wars,MicroFighters,2015,Snowspeeder,1,97,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,12.52,6.79
75075-1,Star Wars,MicroFighters,2015,AT-AT,1,88,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,13.17,7.16
75076-1,Star Wars,MicroFighters,2015,Republic Gunship,1,105,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,15.81,10.2
